City,Station,FileName,Lat,Long,Address
Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",Navi_Mumbai_Sanpada__Navi_Mumbai_-_MPCB.csv,19.0575752,73.0151367,"Sensory Garden, Juinagar Station Road, Near Ryan International School, near from, Sector-10, Sanpada, Navi Mumbai, Maharashtra."
Navi Mumbai,"Mahape, Navi Mumbai - MPCB",Navi_Mumbai_Mahape__Navi_Mumbai_-_MPCB.csv,19.1135051,73.008978,"Maharashtra Pollution Control Board, CAAQM Station, Ground Floor, Central Laboratory, Nirmal Bhavan P-3, Mahape, Navi Mumbai."
Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",Navi_Mumbai_Kopripada-Vashi__Navi_Mumbai_-_MPCB.csv,19.090337,73.014232,"Tortoise Amusement Park, 180, Ram Mandir Rd, Kopripada, Sector 26, Vashi, Navi Mumbai."
Navi Mumbai,"Nerul, Navi Mumbai - MPCB",Navi_Mumbai_Nerul__Navi_Mumbai_-_MPCB.csv,19.008751,73.01662,"CAAQMS-MPCB,NMMC STP Compound, Sector 50- Nerul, Navi Mumbai."
Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",Navi_Mumbai_Sector-2E_Kalamboli__Navi_Mumbai_-_MPCB.csv,19.02579,73.10297,"Sector-2E, Smruti Van Park, Kalamboli, Panvel, Navi Mumbai."
Parbhani,"Masoom Colony, Parbhani - MPCB",Parbhani_Masoom_Colony__Parbhani_-_MPCB.csv,19.265594,76.761463,"DSM College, Jintur Road, Behind Z.P. Parbhani, Masoom Colony, Parbhani, Maharashtra."
Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad_Park_Street_Wakad__Pimpri_Chinchwad_-_MPCB.csv,18.59051,73.77946,"Wakad-Pimple Saudagar Road, Kaspate Vasti, Wakad, Pimpri Chinchwad, Pune, Maharashtra."
Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",Pimpri-Chinchwad_Savta_Mali_Nagar__Pimpri-Chinchwad_-_IITM.csv,18.614767,73.799516,"System of Air Quality, Weather Forecasting And Research, 6, Viabhav Nagar Road, Genuji Waghere Nagar, Savta Mali Nagar, Pimpri Colony, Pimpri-Chinchwa"
Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad_Thergaon__Pimpri_Chinchwad_-_MPCB.csv,18.616318,73.765797,"Chhatrapati Shivaji Maharaj Park, Aditya Birla Hospital Marg, Dange Chowk Road, Thergaon, Pimpri-Chinchwad."
Pimpri-Chinchwad,"Alandi, Pimpri-Chinchwad - IITM",Pimpri-Chinchwad_Alandi__Pimpri-Chinchwad_-_IITM.csv,18.675076,73.892743,"System Of Air Quality And weather Forecasting Research MIT Academy Of Engineering Dehu Phata, Alandi"
